paper_id,pdf_link,num_pages,num_figures,num_tables
2306.06024v3,https://arxiv.org/pdf/2306.06024v3,17,6,12
2308.04719v1,https://arxiv.org/pdf/2308.04719v1,28,16,2
2312.10490v1,https://arxiv.org/pdf/2312.10490v1,16,14,3
2303.09397v1,https://arxiv.org/pdf/2303.09397v1,10,6,4
2305.15723v1,https://arxiv.org/pdf/2305.15723v1,16,1,4
2304.05818v1,https://arxiv.org/pdf/2304.05818v1,11,6,0
2302.02852v1,https://arxiv.org/pdf/2302.02852v1,6,1,1
2303.16580v3,https://arxiv.org/pdf/2303.16580v3,12,4,5
2309.05289v1,https://arxiv.org/pdf/2309.05289v1,14,5,4
2401.07890v2,https://arxiv.org/pdf/2401.07890v2,23,2,3
2310.00092v1,https://arxiv.org/pdf/2310.00092v1,7,2,2
2307.12776v3,https://arxiv.org/pdf/2307.12776v3,54,4,1
2401.08721v1,https://arxiv.org/pdf/2401.08721v1,21,15,1
2310.00178v1,https://arxiv.org/pdf/2310.00178v1,15,1,2
2401.15124v1,https://arxiv.org/pdf/2401.15124v1,9,4,4
2305.07039v2,https://arxiv.org/pdf/2305.07039v2,14,6,5
2309.14819v1,https://arxiv.org/pdf/2309.14819v1,10,7,6
2401.05949v4,https://arxiv.org/pdf/2401.05949v4,14,3,7
2310.10046v3,https://arxiv.org/pdf/2310.10046v3,14,9,2
2401.09356v1,https://arxiv.org/pdf/2401.09356v1,17,15,2
2304.10941v1,https://arxiv.org/pdf/2304.10941v1,9,6,3
2302.03807v2,https://arxiv.org/pdf/2302.03807v2,20,4,15
2307.05772v1,https://arxiv.org/pdf/2307.05772v1,19,11,8
2304.04067v1,https://arxiv.org/pdf/2304.04067v1,12,6,7
2311.17073v1,https://arxiv.org/pdf/2311.17073v1,8,8,1
2310.10294v1,https://arxiv.org/pdf/2310.10294v1,8,4,4
2303.14317v1,https://arxiv.org/pdf/2303.14317v1,16,10,16
2303.16870v1,https://arxiv.org/pdf/2303.16870v1,81,40,0
2305.18641v1,https://arxiv.org/pdf/2305.18641v1,11,4,5
2308.06248v1,https://arxiv.org/pdf/2308.06248v1,18,9,3
2308.16622v1,https://arxiv.org/pdf/2308.16622v1,5,2,1
2311.03365v1,https://arxiv.org/pdf/2311.03365v1,9,2,3
2310.01330v1,https://arxiv.org/pdf/2310.01330v1,13,8,2
2308.08982v1,https://arxiv.org/pdf/2308.08982v1,10,1,5
2307.05694v1,https://arxiv.org/pdf/2307.05694v1,7,3,3
2307.09238v1,https://arxiv.org/pdf/2307.09238v1,13,5,1
2401.04478v2,https://arxiv.org/pdf/2401.04478v2,22,5,11
2310.15976v2,https://arxiv.org/pdf/2310.15976v2,44,4,0
2302.02275v1,https://arxiv.org/pdf/2302.02275v1,17,1,8
2306.05045v1,https://arxiv.org/pdf/2306.05045v1,21,10,5
2302.13959v2,https://arxiv.org/pdf/2302.13959v2,15,4,9
2401.09101v1,https://arxiv.org/pdf/2401.09101v1,20,15,14
2311.07861v2,https://arxiv.org/pdf/2311.07861v2,14,4,11
2302.02089v1,https://arxiv.org/pdf/2302.02089v1,10,4,6
2301.06928v1,https://arxiv.org/pdf/2301.06928v1,21,9,13
2302.01928v2,https://arxiv.org/pdf/2302.01928v2,14,14,1
2307.02025v1,https://arxiv.org/pdf/2307.02025v1,4,5,1
2309.02552v1,https://arxiv.org/pdf/2309.02552v1,10,4,4
2306.04718v1,https://arxiv.org/pdf/2306.04718v1,14,5,7
2308.06828v3,https://arxiv.org/pdf/2308.06828v3,9,5,2
2301.11673v4,https://arxiv.org/pdf/2301.11673v4,25,10,10
2304.12404v1,https://arxiv.org/pdf/2304.12404v1,8,3,4
2304.02724v1,https://arxiv.org/pdf/2304.02724v1,10,6,5
2306.07299v1,https://arxiv.org/pdf/2306.07299v1,45,12,0
2309.08167v1,https://arxiv.org/pdf/2309.08167v1,5,3,4
2310.15290v2,https://arxiv.org/pdf/2310.15290v2,37,14,11
2303.15083v1,https://arxiv.org/pdf/2303.15083v1,14,7,17
2305.00136v3,https://arxiv.org/pdf/2305.00136v3,88,45,0
2303.16412v1,https://arxiv.org/pdf/2303.16412v1,38,17,1
2307.05152v2,https://arxiv.org/pdf/2307.05152v2,14,6,2
2307.05439v2,https://arxiv.org/pdf/2307.05439v2,37,19,5
2310.06283v1,https://arxiv.org/pdf/2310.06283v1,12,7,6
2310.10418v2,https://arxiv.org/pdf/2310.10418v2,20,7,16
2306.06480v1,https://arxiv.org/pdf/2306.06480v1,15,6,12
2303.01220v1,https://arxiv.org/pdf/2303.01220v1,9,10,8
2312.14945v1,https://arxiv.org/pdf/2312.14945v1,11,4,2
2305.03045v2,https://arxiv.org/pdf/2305.03045v2,11,5,4
2308.04735v1,https://arxiv.org/pdf/2308.04735v1,14,6,1
2401.03925v1,https://arxiv.org/pdf/2401.03925v1,28,4,4
2305.16487v2,https://arxiv.org/pdf/2305.16487v2,13,5,5
2311.01875v1,https://arxiv.org/pdf/2311.01875v1,28,5,5
2304.00898v1,https://arxiv.org/pdf/2304.00898v1,11,9,5
2301.09003v1,https://arxiv.org/pdf/2301.09003v1,34,3,11
2306.00212v1,https://arxiv.org/pdf/2306.00212v1,59,0,0
2301.02873v1,https://arxiv.org/pdf/2301.02873v1,11,3,12
2309.15462v2,https://arxiv.org/pdf/2309.15462v2,18,8,3
2308.04249v1,https://arxiv.org/pdf/2308.04249v1,11,14,5
2302.08224v2,https://arxiv.org/pdf/2302.08224v2,26,12,7
2312.13509v1,https://arxiv.org/pdf/2312.13509v1,6,4,2
2308.06776v1,https://arxiv.org/pdf/2308.06776v1,11,7,3
2306.02098v1,https://arxiv.org/pdf/2306.02098v1,11,7,5
2310.07895v1,https://arxiv.org/pdf/2310.07895v1,10,6,2
2305.18436v2,https://arxiv.org/pdf/2305.18436v2,32,5,1
2305.14483v1,https://arxiv.org/pdf/2305.14483v1,22,8,13
2401.10935v1,https://arxiv.org/pdf/2401.10935v1,17,8,4
2301.11745v1,https://arxiv.org/pdf/2301.11745v1,10,3,1
2311.11287v1,https://arxiv.org/pdf/2311.11287v1,7,8,0
2310.20193v1,https://arxiv.org/pdf/2310.20193v1,8,4,1
2310.09358v1,https://arxiv.org/pdf/2310.09358v1,57,10,0
2311.18348v1,https://arxiv.org/pdf/2311.18348v1,34,5,1
2309.11983v3,https://arxiv.org/pdf/2309.11983v3,5,3,0
2308.08529v2,https://arxiv.org/pdf/2308.08529v2,13,9,5
2306.02149v1,https://arxiv.org/pdf/2306.02149v1,31,5,3
2306.15657v2,https://arxiv.org/pdf/2306.15657v2,34,0,0
2308.11485v1,https://arxiv.org/pdf/2308.11485v1,23,12,10
2311.02107v1,https://arxiv.org/pdf/2311.02107v1,26,1,2
2304.01959v2,https://arxiv.org/pdf/2304.01959v2,9,2,7
2310.20159v1,https://arxiv.org/pdf/2310.20159v1,7,1,3
2311.10786v1,https://arxiv.org/pdf/2311.10786v1,11,3,0
2305.14601v1,https://arxiv.org/pdf/2305.14601v1,11,5,5